Description,Number of Beds,Price (HKD)
Home in Taitō-ku,2 beds,"$1,285 
$868 HKD
 night
$868 HKD per night, originally $1,285"
Apartment in Shibuya-ku,1 bed,"$398 HKD
 night
$398 HKD per night"
Villa in Toshima City,5 beds,"$1,342 
$1,034 HKD
 night
$1,034 HKD per night, originally $1,342"
Apartment in Shinjuku City,6 beds,"$768 
$576 HKD
 night
$576 HKD per night, originally $768"
Home in Sumida City,5 beds,"$1,630 
$1,024 HKD
 night
$1,024 HKD per night, originally $1,630"
Shared room in Minato City,1 bed,"$129 
$115 HKD
 night
$115 HKD per night, originally $129"
"Apartment in Shinjuku Ku,",3 beds,"$558 
$271 HKD
 night
$271 HKD per night, originally $558"
Apartment in Shinjuku City,1 small double bed,"$393 
$350 HKD
 night
$350 HKD per night, originally $393"
Hotel room in Chiyoda City,2 small double beds,"$471 
$375 HKD
 night
$375 HKD per night, originally $471"
Apartment in Shinjuku,1 small double bed,"$566 HKD
 night
$566 HKD per night"
"Private room in Hodogaya-ku, Yokohama-shi",1 single bed,"$156 HKD
 night
$156 HKD per night"
Apartment in Chuo City,3 beds,"$1,178 HKD
 night
$1,178 HKD per night"
Home in Taito City,8 beds,"$3,222 HKD
 night
$3,222 HKD per night"
Apartment in 中央区,2 beds,"$2,162 HKD
 night
$2,162 HKD per night"
Apartment in Chūō-ku,1 bed,"$406 
$348 HKD
 night
$348 HKD per night, originally $406"
Apartment in Shibuya City,1 double bed,"$990 
$797 HKD
 night
$797 HKD per night, originally $990"
Apartment in Nakano City,1 double bed,"$376 HKD
 night
$376 HKD per night"
Apartment in Shinjuku City,2 small double beds,"$433 HKD
 night
$433 HKD per night"
Home in Shibuya-ku,4 beds,"$2,477 
$1,858 HKD
 night
$1,858 HKD per night, originally $2,477"
Apartment in Shibuya City,2 double beds,"$1,164 
$322 HKD
 night
$322 HKD per night, originally $1,164"
Hotel room in Taito City,1 single bed,"$524 HKD
 night
$524 HKD per night"
Home in 南伊豆町,5 beds,"$5,535 HKD
 night
$5,535 HKD per night"
Apartment in Chuo City,1 bed,"$268 HKD
 night
$268 HKD per night"
Apartment in Setagaya-ku,2 beds,"$452 
$343 HKD
 night
$343 HKD per night, originally $452"
Home in Higashimurayama,10 floor mattresses,"$234 HKD
 night
$234 HKD per night"
Hotel room in Taito City,7 beds,"$1,009 
$888 HKD
 night
$888 HKD per night, originally $1,009"
Hotel room in Taito City,4 beds,"$1,208 
$933 HKD
 night
$933 HKD per night, originally $1,208"
Private room in Shibuya-ku,1 double bed,"$509 HKD
 night
$509 HKD per night"
Apartment in Toshima City,2 double beds,"$1,581 
$498 HKD
 night
$498 HKD per night, originally $1,581"
Hotel room in Shinjuku City,5 beds,"$1,399 
$512 HKD
 night
$512 HKD per night, originally $1,399"
Hotel room in Minato City,1 double bed,"$404 HKD
 night
$404 HKD per night"
Home in Koto City,10 beds,"$1,467 
$820 HKD
 night
$820 HKD per night, originally $1,467"
Apartment in Shinjuku-ku,1 bed,"$439 HKD
 night
$439 HKD per night"
Hotel room in Taito City,2 small double beds,"$629 
$484 HKD
 night
$484 HKD per night, originally $629"
Private room in Sumida City,1 small double bed,"$143 HKD
 night
$143 HKD per night"
Hotel room in Chuo City,1 bed,"$527 HKD
 night
$527 HKD per night"
Hotel room in Taito City,1 small double bed,"$526 
$273 HKD
 night
$273 HKD per night, originally $526"
Private room in 新宿区,2 floor mattresses,"$229 HKD
 night
$229 HKD per night"
Home in Shinjuku-ku,7 beds,"$1,493 HKD
 night
$1,493 HKD per night"
Apartment in Shibuya-ku,1 double bed,"$509 HKD
 night
$509 HKD per night"
Home in Sumida City,6 beds,"$1,738 
$1,199 HKD
 night
$1,199 HKD per night, originally $1,738"
Apartment in Chuo City,2 beds,"$612 
$386 HKD
 night
$386 HKD per night, originally $612"
Home in Sumida City,7 beds,"$2,522 
$1,161 HKD
 night
$1,161 HKD per night, originally $2,522"
Home in Sumida-ku,2 double beds,"$745 
$427 HKD
 night
$427 HKD per night, originally $745"
Hotel room in Taito City,3 beds,"$638 HKD
 night
$638 HKD per night"
Hotel room in Sumida-ku,2 beds,"$292 HKD
 night
$292 HKD per night"
Home in Chōfu-shi,4 beds,"$345 HKD
 night
$345 HKD per night"
Condo in Shinjuku-ku,4 single beds,"$754 
$509 HKD
 night
$509 HKD per night, originally $754"
Apartment in Minato City,1 double bed,"$609 HKD
 night
$609 HKD per night"
Hotel room in Taito City,2 small double beds,"$629 
$484 HKD
 night
$484 HKD per night, originally $629"
Apartment in 荒川区,1 bed,"$1,163 
$626 HKD
 night
$626 HKD per night, originally $1,163"
Apartment in Edogawa City,2 double beds,"$342 HKD
 night
$342 HKD per night"
Hotel room in Taitō-ku,2 single beds,"$320 HKD
 night
$320 HKD per night"
Home in Shibuya City,1 bed,"$666 HKD
 night
$666 HKD per night"
Apartment in Shinjuku-ku,4 beds,"$2,219 HKD
 night
$2,219 HKD per night"
Hotel room in Koto City,1 double bed,"$285 HKD
 night
$285 HKD per night"
Hotel room in Taito City,4 beds,"$1,004 
$683 HKD
 night
$683 HKD per night, originally $1,004"
Apartment in Shibuya City,2 double beds,"$1,456 
$1,059 HKD
 night
$1,059 HKD per night, originally $1,456"
Villa in Toshima City,5 beds,"$1,630 
$911 HKD
 night
$911 HKD per night, originally $1,630"
Apartment in Minato-ku,2 double beds,"$529 HKD
 night
$529 HKD per night"
