Hotel Name,Price Per Night,Location,Average Rating
Goodrich Hotel,425.0,,6.4
Hotel ICON,1650.0,,9.2
Hotel Madera Hong Kong,520.0,,8.4
Largos Hotel,770.0,,7.6
Travelodge Kowloon,355.0,,7.8
Nathan Hotel,688.0,,8.4
Hotel Stage,590.0,,9.2
Eaton HK,600.0,,8.6
Micro Hotel,275.0,,3.8
Harbour Plaza Metropolis,680.0,,7.8
Homy Residence,1000.0,,8.2
Yesinn @YMT,232.0,,7.2
Bridal Tea House Hotel Yau Ma Tei Arthur Street,432.0,,6.6
Caritas Bianchi Lodge,545.0,,7.8
Casa Hotel,532.0,,6.8
M1 Yau Ma Tei Hotel,442.0,,6.8
Kowloon Harbourfront Hotel,832.0,,7.8
The Cityview,550.0,,8.0
"Holiday Inn Express Hong Kong Mongkok, an IHG Hotel",653.0,,8.2
Hilton Garden Inn Hong Kong Mongkok,620.0,,8.4
HK Mingdu Hostel,538.0,,6.4
MK STAY(formerly HOTEL MK),507.0,,5.8
Harbour Inn,469.0,,5.8
Kong Hing Guest House,656.0,,8.2
Mong Kok Guo Du Hostel,589.0,,8.6
Fortune Hotel,344.0,,6.4
Hotel 108,480.0,,8.4
Stanford Hotel,522.0,,8.0
Harbour Grand Kowloon,960.0,,8.6
Chi Shing Hostel,614.0,,5.0
Metroplace Olympic Hotel,509.0,,6.6
Lodgewood by Nina Hospitality丨Mong Kok,487.0,,8.4
Sober Hotel,557.0,,7.6
Summit View Kowloon,459.0,,8.4
Mei Wah Guesthouse,636.0,,8.0
B&B Mongkok Hotel,455.0,,6.4
Hong Kong Astronaut's Hotel,295.0,,6.2
Prince Hotel,318.0,,5.0
Geo Home Holiday Hotel,409.0,,7.0
Metropark Hotel Mongkok,513.0,,8.2
Le Prabelle Hotel,614.0,,8.4
Oriental Lander Hotel,362.0,,6.6
Hotel 1936,586.0,,8.2
VP Apartments,726.0,,7.0
Lander Hotel Prince Edward,368.0,,6.6
Royal Plaza Hotel,763.0,,8.8
E Hotel Hong Kong,787.0,,7.8
Harbour Plaza 8 Degrees,520.0,,7.6
YHA Mei Ho House Youth Hostel,545.0,,8.4
Heritage Lodge,412.0,,7.8
IW Hotel,518.0,,7.4
IND Hotel,655.0,,8.2
"Holiday Inn Express Hong Kong Kowloon CBD2, an IHG Hotel",736.0,,8.4
Bali Holiday Resort,421.0,,7.6
Concerto Inn,636.0,,7.2
Rambler Oasis Hotel,343.0,,6.2
Winland 800 Hotel,297.0,,5.0
Hotel Ease Access Tsuen Wan,360.0,,7.2
Hotel Ease Tsuen Wan,542.0,,8.4
Nina Hotel Tsuen Wan West,742.0,,7.8
"Holiday Inn Express Kowloon East, an IHG Hotel",665.0,,8.0
Regal Riverside Hotel,450.0,,7.6
Alva Hotel By Royal,661.0,,8.8
Hong Kong Disneyland Hotel,3104.0,,8.8
Noah's Ark Hotel & Resort,1350.0,,7.4
Disney Explorers Lodge,2835.0,,8.8
The Pier Hotel,1966.0,,8.4
Auberge Discovery Bay Hong Kong,7401.0,,8.6
"Hyatt Regency Hong Kong, Sha Tin",880.0,,8.6
Warwick Hotel,2370.0,,7.4
B&B Cheung Chau,610.0,,7.6
Silvermine Beach Resort,2191.0,,7.2
Hong Kong Gold Coast Hotel,1848.0,,8.4
Sheraton Hong Kong Tung Chung,2450.0,,8.8
YHA Bradbury Jockey Club Tai Mei Tuk Youth Hostel,773.0,,7.2
The Silveri Hong Kong - MGallery,1440.0,,8.0
Hotel COZi ·Resort,511.0,,7.8
"Pentahotel Hong Kong, Tuen Mun",400.0,,8.2
City Oasis Guesthouse,1082.0,,8.8
The Cove Hostel - Tong Fuk Octopus,395.0,,7.0
Harbour Plaza Resort City,516.0,,7.8
YHA Ngong Ping SG Davis Youth Hostel,386.0,,7.4
Hotel COZi ·Wetland,461.0,,8.0
