Number of Beds,Price (HKD),Type,Location
1.0,553.0,Apartment,Hong Kong
1.0,1326.0,Private room,Hong Kong
1.0,944.0,Apartment,Hong Kong
1.0,324.0,Private room,Hong Kong
1.0,262.0,Private room,Hong Kong
4.0,143.0,Hotel room,Hong Kong
2.0,2282.0,Condo,Hong Kong
3.0,3859.0,Private room,Hong Kong
3.0,1826.0,Apartment,Hong Kong
1.0,207.0,Shared room,Hong Kong
2.0,347.0,Private room,Hong Kong
4.0,849.0,Condo,Hong Kong
4.0,153.0,Hotel room,Hong Kong
1.0,456.0,Private room,Hong Kong
1.0,1372.0,Private room,Hong Kong
1.0,1194.0,Private room,Hung Shing Yeh Beach
0.0,,Hotel,Hong Kong
1.0,1149.0,Hotel room,Hong Kong
1.0,2107.0,Apartment,Hong Kong
3.0,324.0,Private room,Hong Kong
1.0,231.0,Hotel room,Hong Kong
6.0,36518.0,Villa,Hong Kong
1.0,600.0,Hotel room,Hong Kong
1.0,2082.0,Hotel room,Sheung Wan
4.0,13765.0,Home,Hong Kong
1.0,259.0,Private room,Hong Kong
1.0,1181.0,Private room,Hong Kong
1.0,593.0,Hotel room,Hong Kong
1.0,507.0,Private room,Hong Kong
4.0,135.0,Hotel room,Hong Kong
1.0,571.0,Private room,Hong Kong
1.0,2122.0,Apartment,Pui O
1.0,580.0,Apartment,Hong Kong
1.0,143.0,Shared room,Hong Kong
1.0,299.0,Hotel room,Hong Kong
1.0,516.0,Apartment,Hong Kong
1.0,571.0,Private room,Hong Kong
1.0,502.0,Private room,東涌
3.0,170.0,Shared room,Hong Kong
2.0,359.0,Private room,Hong Kong
2.0,1689.0,Apartment,Hong Kong
1.0,143.0,Shared room,Hong Kong
1.0,718.0,Hotel room,Hong Kong
1.0,474.0,Hotel room,Hong Kong
2.0,399.0,Hotel room,Hong Kong
1.0,205.0,Private room,Hong Kong
2.0,457.0,Apartment,Hong Kong
1.0,386.0,Private room,Hong Kong
9.0,2349.0,Apartment,Hong Kong
4.0,262.0,Private room,Hong Kong
1.0,143.0,Shared room,Hong Kong
1.0,628.0,Private room,Hong Kong
1.0,399.0,Hut,Hong Kong
4.0,143.0,Hotel room,Hong Kong
1.0,238.0,Guesthouse,左敦
9.0,2339.0,Apartment,Hong Kong
1.0,533.0,Private room,Hong Kong
1.0,575.0,Condo,Hong Kong
5.0,194.0,Shared room,Hong Kong
1.0,571.0,Private room,Hong Kong
1.0,380.0,Hotel room,Hong Kong
1.0,469.0,Private room,Hong Kong
1.0,589.0,Private room,Hong Kong
1.0,208.0,Shared room,Hong Kong
