Source,Location,Number of Beds,Type,Price (HKD)
Airbnb,Arakawa,1.0,Hotel Room,343.0
Airbnb,Shinjuku,1.0,Apartment,441.0
Airbnb,Shinjuku,1.0,Apartment,332.0
Airbnb,Chiyoda,2.0,Hotel Room,408.0
Airbnb,Chuo,2.0,Apartment,885.0
Airbnb,Taito,16.0,Home,1359.0
Airbnb,Shinjuku,1.0,Condo,478.0
Airbnb,(outside tokyo),2.0,Private room,597.0
Airbnb,Sumida,3.0,Apartment,624.0
Airbnb,Shinjuku,2.0,Hotel Room,417.0
Airbnb,Taito,2.0,Home,1285.0
Airbnb,Shibuya,1.0,Apartment,398.0
Airbnb,Toshima,5.0,Villa,1342.0
Airbnb,Shinjuku,6.0,Apartment,768.0
Airbnb,Sumida,5.0,Home,1630.0
Airbnb,Minato,1.0,Shared room,129.0
Airbnb,Shinjuku,3.0,Apartment,558.0
Airbnb,Shinjuku,1.0,Apartment,393.0
Airbnb,Chiyoda,2.0,Hotel Room,471.0
Airbnb,Shinjuku,1.0,Apartment,566.0
Airbnb,(outside tokyo),1.0,Private room,156.0
Airbnb,Chuo,3.0,Apartment,1178.0
Airbnb,Taito,8.0,Home,3222.0
Airbnb,Chuo,2.0,Apartment,2162.0
Airbnb,Chuo,1.0,Apartment,406.0
Airbnb,Shibuya,1.0,Apartment,990.0
Airbnb,Nakano,1.0,Apartment,376.0
Airbnb,Shinjuku,2.0,Apartment,433.0
Airbnb,Shibuya,4.0,Home,2477.0
Airbnb,Shibuya,2.0,Apartment,1164.0
Airbnb,Taito,1.0,Hotel Room,524.0
Airbnb,(outside tokyo),5.0,Home,5535.0
Airbnb,Chuo,1.0,Apartment,268.0
Airbnb,Setagaya,2.0,Apartment,452.0
Airbnb,(outside tokyo),10.0,Home,234.0
Airbnb,Taito,7.0,Hotel Room,1009.0
Airbnb,Taito,4.0,Hotel Room,1208.0
Airbnb,Shibuya,1.0,Private room,509.0
Airbnb,Toshima,2.0,Apartment,1581.0
Airbnb,Shinjuku,5.0,Hotel Room,1399.0
Airbnb,Minato,1.0,Hotel Room,404.0
Airbnb,Koto,10.0,Home,1467.0
Airbnb,Shinjuku,1.0,Apartment,439.0
Airbnb,Taito,2.0,Hotel Room,629.0
Airbnb,Sumida,1.0,Private room,143.0
Airbnb,Chuo,1.0,Hotel Room,527.0
Airbnb,Taito,1.0,Hotel Room,526.0
Airbnb,Shinjuku,2.0,Private room,229.0
Airbnb,Shinjuku,7.0,Home,1493.0
Airbnb,Shibuya,1.0,Apartment,509.0
Airbnb,Sumida,6.0,Home,1738.0
Airbnb,Chuo,2.0,Apartment,612.0
Airbnb,Sumida,7.0,Home,2522.0
Airbnb,Sumida,2.0,Home,745.0
Airbnb,Taito,3.0,Hotel Room,638.0
Airbnb,Sumida,2.0,Hotel Room,292.0
Airbnb,(outside tokyo),4.0,Home,345.0
Airbnb,Shinjuku,4.0,Condo,754.0
Airbnb,Minato,1.0,Apartment,609.0
Airbnb,Taito,2.0,Hotel Room,629.0
Airbnb,(outside tokyo),1.0,Apartment,1163.0
Airbnb,Edogawa,2.0,Apartment,342.0
Airbnb,Taito,2.0,Hotel Room,320.0
Airbnb,Shibuya,1.0,Home,666.0
Airbnb,Shinjuku,4.0,Apartment,2219.0
Airbnb,Koto,1.0,Hotel Room,285.0
Airbnb,Taito,4.0,Hotel Room,1004.0
Airbnb,Shibuya,2.0,Apartment,1456.0
Airbnb,Toshima,5.0,Villa,1630.0
Airbnb,Minato,2.0,Apartment,529.0
Airbnb,Shinjuku,6.0,Apartment,387.0
Airbnb,Sumida,1.0,Private room,327.0
Airbnb,Chuo,2.0,Apartment,333.0
Airbnb,Shibuya,6.0,Home,2084.0
Airbnb,Koto,2.0,Private room,319.0
Airbnb,Ota,4.0,Home,353.0
Airbnb,Itabashi,2.0,Apartment,308.0
Airbnb,Taito,2.0,Home,939.0
Airbnb,Shinjuku,2.0,Private room,454.0
Airbnb,Taito,3.0,Home,1177.0
Airbnb,Chiyoda,1.0,Shared room,182.0
Airbnb,Sumida,4.0,Apartment,518.0
Airbnb,Toshima,6.0,Home,833.0
Airbnb,Shinjuku,3.0,Home,2329.0
Airbnb,Sumida,1.0,Private room,125.0
Airbnb,Shinjuku,1.0,Private room,356.0
Airbnb,Taito,1.0,Private room,140.0
Airbnb,Taito,1.0,Private room,381.0
Airbnb,Shinjuku,4.0,Hotel Room,1168.0
Airbnb,Nakano,1.0,Private room,248.0
Airbnb,Chuo,1.0,Apartment,1007.0
Airbnb,Taito,8.0,Apartment,396.0
Airbnb,Shinjuku,6.0,Condo,1968.0
Airbnb,Ota,6.0,Home,613.0
Airbnb,(outside tokyo),,Private room,325.0
Airbnb,(outside tokyo),3.0,Private room,239.0
Airbnb,Shinjuku,1.0,Private room,400.0
Airbnb,Chuo,1.0,Apartment,333.0
Airbnb,Sumida,6.0,Loft,943.0
Airbnb,Sumida,3.0,Apartment,817.0
Airbnb,Koto,5.0,Home,548.0
Airbnb,Taito,2.0,Apartment,647.0
Airbnb,Ota,2.0,Apartment,437.0
Airbnb,Chuo,1.0,Apartment,768.0
Airbnb,Arakawa,3.0,Hotel Room,211.0
Airbnb,Taito,1.0,Hotel Room,186.0
Airbnb,Chiyoda,2.0,Apartment,3689.0
Airbnb,Arakawa,1.0,Shared hotel room,97.0
Airbnb,Meguro,4.0,Hotel Room,1081.0
Airbnb,Taito,1.0,Hotel Room,448.0
Airbnb,Taito,2.0,Hotel Room,567.0
Airbnb,Arakawa,1.0,Hotel Room,357.0
Airbnb,Shinjuku,3.0,Hotel Room,1164.0
Airbnb,Meguro,2.0,Hotel Room,582.0
Airbnb,Meguro,2.0,Private room,231.0
Airbnb,Taito,2.0,Condo,312.0
Airbnb,Sumida,6.0,Apartment,4658.0
Airbnb,Shinjuku,4.0,Home,1558.0
Airbnb,Sumida,1.0,Private room,461.0
Airbnb,Meguro,3.0,Hotel Room,745.0
Airbnb,Shinjuku,11.0,Apartment,1145.0
Airbnb,Taito,3.0,Hotel Room,893.0
Airbnb,Sumida,2.0,Apartment,733.0
Airbnb,(outside tokyo),6.0,Villa,1085.0
Airbnb,Shinjuku,2.0,Apartment,2595.0
Airbnb,Chuo,1.0,Hotel Room,216.0
Airbnb,Edogawa,1.0,Hotel Room,218.0
Airbnb,Suginami,2.0,Apartment,522.0
Airbnb,Adachi,5.0,Home,1776.0
Airbnb,Shinjuku,1.0,Apartment,376.0
Airbnb,Shinjuku,6.0,Villa,1292.0
Airbnb,Sumida,6.0,Home,1630.0
Airbnb,Sumida,1.0,Apartment,514.0
Airbnb,Shinjuku,6.0,Hotel Room,905.0
Airbnb,(outside tokyo),3.0,Cabin,1778.0
Airbnb,Taito,6.0,Home,694.0
Airbnb,Taito,1.0,Condo,292.0
Airbnb,Sumida,1.0,Shared room,100.0
Airbnb,Shinjuku,1.0,Apartment,658.0
Airbnb,Itabashi,2.0,Apartment,310.0
Airbnb,Shibuya,8.0,Home,1269.0
Airbnb,Arakawa,1.0,Hotel Room,477.0
Airbnb,Chuo,1.0,Apartment,333.0
Airbnb,Sumida,1.0,Private room,91.0
Airbnb,Edogawa,3.0,Apartment,342.0
Airbnb,Setagaya,3.0,Hotel Room,2397.0
Airbnb,Meguro,1.0,Private room,264.0
Airbnb,Shinjuku,3.0,Apartment,986.0
Airbnb,(outside tokyo),2.0,Villa,10953.0
Airbnb,Shinjuku,2.0,Apartment,707.0
Airbnb,Koto,4.0,Home,1304.0
Airbnb,Chuo,3.0,Apartment,1992.0
Airbnb,Shinjuku,4.0,Apartment,1153.0
Airbnb,Taito,12.0,Shared room,145.0
Airbnb,Sumida,7.0,Home,1000.0
Airbnb,(outside tokyo),1.0,Apartment,261.0
Airbnb,Shinjuku,7.0,Home,1436.0
Airbnb,Shinjuku,5.0,Home,2032.0
Airbnb,Toshima,1.0,Private room,197.0
Airbnb,(outside tokyo),1.0,Private room,208.0
Airbnb,Sumida,3.0,Apartment,1212.0
Airbnb,(outside tokyo),1.0,Private room,267.0
Airbnb,Shinjuku,1.0,Home,590.0
Airbnb,Chuo,4.0,Hotel Room,1424.0
Airbnb,Minato,1.0,Apartment,534.0
Airbnb,Shinjuku,7.0,Home,2368.0
Airbnb,Sumida,4.0,Apartment,556.0
Airbnb,Koto,1.0,Hotel Room,256.0
Airbnb,(outside tokyo),2.0,Private room,182.0
Airbnb,Chiyoda,4.0,Hotel Room,461.0
Airbnb,Koto,1.0,Shared room,131.0
Airbnb,Taito,6.0,Hotel Room,1179.0
Airbnb,Shinjuku,4.0,Home,1643.0
Airbnb,Sumida,2.0,Apartment,601.0
Airbnb,Shibuya,1.0,Private room,379.0
Airbnb,Koto,1.0,Shared room,91.0
Airbnb,Sumida,1.0,Private room,163.0
Airbnb,Itabashi,4.0,Private room,163.0
Airbnb,Toshima,1.0,Loft,379.0
Airbnb,Shibuya,4.0,Apartment,869.0
Airbnb,Suginami,5.0,Apartment,942.0
Airbnb,Taito,1.0,Apartment,459.0
Airbnb,(outside tokyo),1.0,Private room,190.0
Airbnb,Sumida,1.0,Holiday Home,271.0
Airbnb,Sumida,2.0,Apartment,742.0
Airbnb,Edogawa,7.0,Home,1085.0
Airbnb,Sumida,1.0,Shared room,100.0
Airbnb,Toshima,6.0,Home,1445.0
Airbnb,Katsuhika,2.0,Apartment,255.0
Airbnb,(outside tokyo),2.0,Private room,292.0
Airbnb,Taito,1.0,Home,963.0
Airbnb,Taito,,Hotel Room,722.0
