Source,Location,Number of Beds,Type,Price (HKD)
Hotel,Chuo,2.0,Hotel Room,909.0
Hotel,Chuo,1.0,Hotel Room,487.0
Hotel,Shinagawa,1.0,Hotel Room,617.0
Hotel,Taito,1.0,Hotel Room,647.0
Hotel,Chiyoda,1.0,Hotel Room,541.0
Hotel,Koto,1.0,Hotel Room,607.0
Hotel,Koto,1.0,Hotel Room,974.0
Hotel,Taito,1.0,Hotel Room,694.0
Hotel,Minato,1.0,Hotel Room,752.0
Hotel,Chuo,1.0,Hotel Room,789.0
Hotel,Minato,1.0,Hotel Room,723.0
Hotel,Chuo,1.0,Hotel Room,487.0
Hotel,Chiyoda,1.0,Hotel Room,6158.0
Hotel,Chiyoda,1.0,Hotel Room,487.0
Hotel,Chuo,1.0,Hotel Room,850.0
Hotel,Chuo,1.0,Hotel Room,487.0
Hotel,Minato,1.0,Hotel Room,1906.0
Hotel,Taito,1.0,Hotel Room,1168.0
Hotel,Minato,1.0,Hotel Room,4653.0
Hotel,Shibuya,1.0,Hotel Room,1644.0
Hotel,Shibuya,1.0,Hotel Room,1178.0
Hotel,Chuo,1.0,Hotel Room,487.0
Hotel,Chuo,1.0,Hotel Room,1716.0
Hotel,Chuo,1.0,Hotel Room,1133.0
Hotel,Minato,1.0,Hotel Room,690.0
Hotel,Ota,1.0,Hotel Room,768.0
Hotel,Minato,1.0,Hotel Room,1099.0
Hotel,Taito,4.0,Hotel Room,2856.0
Hotel,(outside tokyo),2.0,Hotel Room,2389.0
Hotel,(outside tokyo),2.0,Hotel Room,3460.0
Hotel,Chuo,2.0,Hotel Room,1768.0
Hotel,Taito,1.0,Hotel Room,565.0
Hotel,Taito,1.0,Hotel Room,980.0
Hotel,Koto,1.0,Hotel Room,546.0
Hotel,Minato,1.0,Hotel Room,925.0
Hotel,Koto,1.0,Dormitory,365.0
Hotel,Ota,1.0,Hotel Room,807.0
Hotel,Chuo,1.0,Hotel Room,876.0
Hotel,Minato,1.0,Hotel Room,2062.0
Hotel,Koto,2.0,Hotel Room,763.0
Hotel,Shinjuku,3.0,Hotel Room,2819.0
Hotel,Chiyoda,1.0,Hotel Room,916.0
Hotel,Ota,1.0,Hotel Room,517.0
Hotel,Minato,1.0,Hotel Room,3271.0
Hotel,Shinjuku,1.0,Hotel Room,1047.0
Hotel,Chiyoda,1.0,Hotel Room,613.0
Hotel,Minato,1.0,Hotel Room,725.0
Hotel,Taito,1.0,Hotel Room,658.0
Hotel,Minato,1.0,Hotel Room,952.0
Hotel,Kita,1.0,Hotel Room,433.0
Hotel,Chuo,1.0,Hotel Room,1022.0
Hotel,Kita,1.0,Hotel Room,746.0
Hotel,Shibuya,1.0,Hotel Room,831.0
Hotel,Shinagawa,1.0,Hotel Room,865.0
Hotel,Chuo,1.0,Hotel Room,1217.0
Hotel,Taito,1.0,Dormitory,273.0
Hotel,Minato,1.0,Hotel Room,1032.0
Hotel,Minato,1.0,Hotel Room,730.0
Hotel,Chuo,2.0,Hotel Room,4610.0
Hotel,Minato,1.0,Dormitory,346.0
Hotel,Taito,1.0,Hotel Room,514.0
Hotel,Koto,1.0,Hotel Room,753.0
Hotel,Chuo,1.0,Hotel Room,1471.0
Hotel,Minato,1.0,Hotel Room,3704.0
Hotel,(outside tokyo),2.0,Hotel Room,2378.0
Hotel,Kita,1.0,Hotel Room,636.0
Hotel,Taito,3.0,Hotel Room,827.0
Hotel,Taito,,Suite,1503.0
Hotel,Chiyoda,1.0,Hotel Room,876.0
Hotel,Minato,1.0,Hotel Room,687.0
Hotel,Chuo,1.0,Hotel Room,666.0
Hotel,Minato,1.0,Hotel Room,809.0
Hotel,Toshima,1.0,Hotel Room,692.0
Hotel,Taito,1.0,Hotel Room,807.0
Hotel,Chiyoda,1.0,Hotel Room,569.0
Hotel,Shinjuku,1.0,Hotel Room,867.0
Hotel,Edogawa,1.0,Hotel Room,606.0
Hotel,Sumida,1.0,Hotel Room,626.0
Hotel,Minato,1.0,Hotel Room,1418.0
Hotel,Chuo,1.0,Hotel Room,1313.0
Hotel,Arakawa,2.0,Hotel Room,757.0
